Fecha;PM2.5(µg/m³);SO2(µg/m³);NO(µg/m³);NO2(µg/m³);PM10(µg/m³);Ni(ng/m³);NOx(µg/m³);Ozono(µg/m³);As(ng/m³);Pb(µg/m³);Cd(ng/m³)
28.06.2014;14;;2;17;24;3,85;19;71;0,27;0;0,06
29.06.2014;9;;1;14;21;;15;48;;;
30.06.2014;9;1;2;13;30;2,07;16;48;0,28;0;0,06
01.07.2014;17;1;3;16;28;;22;57;;;
02.07.2014;11;5;1;8;23;;8;66;;;
03.07.2014;;4;2;11;25;3,32;13;46;0,28;0;0,07
04.07.2014;11;4;6;35;20;4,14;43;50;0,55;0,01;0,07
05.07.2014;14;3;3;31;22;;35;67;;;
06.07.2014;;;;;24;;;63;;;
07.07.2014;;;;;18;3,57;;57;0,14;0;0,05
08.07.2014;;;;;18;;;52;;;
09.07.2014;;;;;21;3,44;;53;0,28;0;0,06
10.07.2014;;;3;19;21;;23;60;;;
11.07.2014;13;2;2;24;23;;27;53;;;
12.07.2014;11;3;2;16;19;2,49;19;52;0,28;0;0,03
13.07.2014;10;2;1;7;20;;9;53;;;
14.07.2014;11;1;3;10;20;2,63;15;51;0,14;0;0,03
15.07.2014;11;2;2;10;20;;13;51;;;
16.07.2014;9;1;1;11;17;;13;57;;;
17.07.2014;12;2;4;21;22;4,01;27;50;0,28;0;0,04
18.07.2014;9;2;1;9;20;;10;61;;;
19.07.2014;19;2;2;20;33;5,77;24;54;0,41;0;0,1
20.07.2014;19;4;2;12;;;14;70;;;
21.07.2014;18;4;4;24;;;30;50;;;
22.07.2014;15;1;4;18;;;25;59;;;
23.07.2014;13;1;3;19;;;23;55;;;
24.07.2014;11;2;1;9;;;10;69;;;
25.07.2014;9;2;1;7;;;8;63;;;
26.07.2014;12;1;1;8;21;3,18;10;70;0,28;0;0
27.07.2014;14;1;1;7;21;;9;73;;;
28.07.2014;18;1;2;11;26;3,31;14;;0,41;0;0,03
29.07.2014;12;1;1;13;23;;15;54;;;
30.07.2014;9;2;2;16;23;;20;56;;;
31.07.2014;11;1;4;20;26;3,17;27;59;0,28;0;0
01.08.2014;14;2;1;14;32;5,1;15;55;0,28;0;0
02.08.2014;17;3;1;15;33;;16;69;;;
03.08.2014;15;3;0;11;;;11;67;;;
04.08.2014;14;2;1;7;;;8;60;;;
05.08.2014;12;2;1;6;;;7;54;;;
06.08.2014;16;2;2;10;;;13;46;;;
07.08.2014;14;2;1;5;;;6;51;;;
08.08.2014;11;2;1;8;;;10;67;;;
09.08.2014;11;1;1;6;23;2,06;7;70;0,27;0;0
10.08.2014;15;2;1;13;29;;15;58;;;
11.08.2014;16;2;0;8;29;4,4;9;58;0,28;0;0
12.08.2014;13;1;1;7;26;;8;64;;;
13.08.2014;11;2;1;11;32;;13;61;;;
14.08.2014;6;4;0;10;22;0,96;10;67;0,14;0;0
15.08.2014;6;4;0;6;21;;6;63;;;
16.08.2014;7;3;1;10;20;0,41;11;66;0,14;0;0
17.08.2014;7;3;0;10;21;;10;64;;;
18.08.2014;7;2;1;15;23;;16;57;;;
19.08.2014;8;2;1;9;25;1,64;11;67;0,14;0;0
20.08.2014;12;1;1;10;29;;11;67;;;
21.08.2014;10;2;0;7;27;2,6;8;68;0,14;0;0
22.08.2014;;1;1;10;30;;12;63;;;
23.08.2014;9;2;1;7;19;0,84;8;66;0,14;0;0,03
24.08.2014;9;1;0;9;25;;10;63;;;
25.08.2014;12;2;1;13;34;2,73;15;53;0,27;0;0,03
26.08.2014;;1;;;41;;;53;;;
27.08.2014;;;;;26;;;64;;;
28.08.2014;;;;;23;4,22;;61;0,14;0;0,04
29.08.2014;;;2;5;24;4,78;7;65;0,27;0;0,04
30.08.2014;8;2;2;6;20;;8;64;;;
