Fecha;SO2(µg/m³);NO(µg/m³);NO2(µg/m³);PM10(µg/m³);Ni(ng/m³);NOx(µg/m³);Ozono(µg/m³);As(ng/m³);Pb(µg/m³);BaP(ng/m³);Cd(ng/m³)
23/07/2014;4;7;27;;;38;46;;;;
24/07/2014;3;6;24;;;33;51;;;;
25/07/2014;3;;;;;;60;;;;
28/07/2014;2;7;26;;;36;55;;;;
29/07/2014;4;9;27;23;;41;51;;;;
30/07/2014;2;10;29;9;;44;48;;;0,04;
31/07/2014;3;8;29;24;21;41;55;1,21;0;;0,05
01/08/2014;5;4;29;29;8;34;55;0,42;0;;0,05
02/08/2014;5;2;22;33;;25;66;;;;
03/08/2014;4;1;17;27;8;19;60;0,5;0;;0,05
04/08/2014;2;4;19;29;6;25;50;0,35;0;;0,05
05/08/2014;4;6;18;26;;27;46;;;;
06/08/2014;4;7;16;27;8;26;41;0,3;0;;0,05
07/08/2014;2;6;16;25;;25;43;;;0,04;
08/08/2014;2;3;20;24;;24;57;;;;
09/08/2014;3;4;18;23;6;24;57;0,33;0;;0,05
10/08/2014;2;1;14;27;;16;56;;;;
11/08/2014;2;2;18;;;21;42;;;;
12/08/2014;2;2;12;26;6;16;53;0,22;0;;0,05
13/08/2014;6;3;18;26;;24;51;;;0,04;
14/08/2014;1;5;20;;;27;60;;;;
15/08/2014;2;1;11;;;13;56;;;;
16/08/2014;7;2;16;;;19;67;;;;
17/08/2014;2;3;9;;;14;67;;;;
18/08/2014;4;2;17;;;20;58;;;;
19/08/2014;2;5;20;19;7;27;57;0,18;0;;0,05
20/08/2014;2;5;17;22;;24;60;;;;
21/08/2014;2;2;16;22;5;18;59;0,24;0;;0,05
22/08/2014;2;4;15;28;;20;57;;;;
23/08/2014;2;2;11;17;;13;64;;;0,04;
24/08/2014;1;1;14;20;4;15;61;0,14;0;;0,05
25/08/2014;1;4;20;24;4;27;47;0,23;0;;0,05
26/08/2014;2;;;34;;;52;;;;
27/08/2014;;;;31;;;53;;;;
28/08/2014;;4;19;28;6;25;46;0,25;0;;0,05
29/08/2014;2;2;15;27;7;19;52;0,27;0;;0,05
30/08/2014;1;2;13;18;;15;56;;;;
31/08/2014;2;1;15;16;;17;50;;;0,04;
01/09/2014;2;12;27;;;45;40;;;;
02/09/2014;4;9;29;22;;43;39;;;;
03/09/2014;4;4;20;24;5;27;46;0,53;0;;0,05
04/09/2014;3;11;21;24;6;38;52;0,86;0,01;;0,26
05/09/2014;3;5;26;27;;34;49;;;;
06/09/2014;4;3;21;30;10;25;44;0,47;0;;0,05
07/09/2014;1;1;12;24;;14;49;;;;
08/09/2014;3;9;26;21;6;40;37;0,67;0,01;;0,05
09/09/2014;3;8;20;21;;32;41;;;0,04;
10/09/2014;2;10;25;30;;40;42;;;;
11/09/2014;2;;;22;3;;47;1,06;0,01;;0,26
12/09/2014;;2;21;;;25;55;;;;
13/09/2014;4;2;22;;;24;60;;;;
14/09/2014;2;2;16;;;19;52;;;;
15/09/2014;3;7;25;;;36;41;;;;
16/09/2014;2;5;23;23;5;30;53;0,43;0;;0,05
17/09/2014;6;7;22;25;;32;43;;;0,35;
18/09/2014;3;5;22;17;3;28;42;0,36;0;;0,05
19/09/2014;5;4;24;18;;30;53;;;;
20/09/2014;7;4;26;23;9;31;47;0,83;0,01;;0,05
21/09/2014;4;3;15;23;;18;48;;;;
22/09/2014;;;;20;1,4;;;0,63;0;;0,05
23/09/2014;3;;;19;;;42;;;;
24/09/2014;3;11;32;18;1,4;48;35;0,53;0;;0,24
25/09/2014;4;7;29;28;;39;45;;;0,04;
26/09/2014;3;16;43;40;1,4;67;23;0,64;0,01;;0,36
27/09/2014;3;6;26;25;;35;52;;;;
28/09/2014;3;3;16;18;1,4;20;64;0,39;0;;0,05
29/09/2014;3;12;34;;;51;30;;;;
30/09/2014;4;10;26;;;41;40;;;;
01/10/2014;8;15;34;19;;56;34;;;;
02/10/2014;3;14;37;20;3;57;32;0,57;0;;0,05
03/10/2014;3;12;36;21;;55;37;;;;
04/10/2014;3;7;27;21;9;38;47;0,67;0,01;;0,17
05/10/2014;3;3;19;20;;23;55;;;;
06/10/2014;5;7;31;28;7;41;43;0,82;0;;0,05
07/10/2014;9;7;28;20;;37;37;;;;
08/10/2014;6;19;38;24;;67;31;;;;
09/10/2014;7;6;26;23;9;34;38;0,42;0;;0,05
10/10/2014;5;26;26;22;;66;29;;;;
11/10/2014;5;5;18;14;;26;37;;;;
12/10/2014;6;3;12;9;12;15;52;0,16;0;;0,05
13/10/2014;7;3;18;;;21;50;;;;
14/10/2014;4;6;29;13;11;37;39;0,28;0,01;;0,43
15/10/2014;4;4;21;11;;27;42;;;;
16/10/2014;4;3;14;12;20;17;37;0,51;0,01;;0,18
17/10/2014;;10;28;21;;43;29;;;;
18/10/2014;;17;35;31;15;61;27;1,46;0,01;;0,05
19/10/2014;;9;32;35;;46;26;;;;
20/10/2014;6;33;47;68;;98;26;;;;
21/10/2014;;;;72;5;;19;1,06;0,01;;0,4
22/10/2014;;4;21;34;;25;33;;;;
23/10/2014;5;27;50;33;5;90;26;1,2;0,01;;0,4
24/10/2014;7;35;51;42;13;105;24;0,68;0,01;;0,89
25/10/2014;5;17;46;38;;71;32;;;;
26/10/2014;9;8;27;42;33;40;42;0,68;0,01;;0,19
27/10/2014;;10;37;;;51;34;;;;
28/10/2014;;17;41;33;;66;28;;;0,04;
29/10/2014;;19;41;36;7;70;28;0,64;0,01;;0,31
30/10/2014;;19;43;37;;72;20;;;;
31/10/2014;;21;44;30;;76;22;;;;
01/11/2014;;11;37;28;7;54;29;0,58;0,01;;0,05
02/11/2014;;6;30;23;;39;35;;;;
03/11/2014;;11;26;24;4;42;32;0,38;0,01;;0,14
04/11/2014;;4;19;7;;24;49;;;;
05/11/2014;;9;29;9;;43;38;;;;
06/11/2014;;10;37;10;3;50;33;0,95;0,01;;0,15
07/11/2014;;3;18;10;;21;35;;;;
08/11/2014;;7;21;9;4;32;38;0,27;0;;0,05
09/11/2014;;5;19;6;;26;46;;;0,09;
10/11/2014;;12;33;;;51;26;;;;
11/11/2014;3;35;42;19;1,4;95;13;0,67;0,01;;0,26
12/11/2014;3;4;19;8;;25;39;;;;
13/11/2014;3;9;21;11;;35;35;;;0,1;
14/11/2014;3;20;29;13;7;59;27;0,96;0,01;;0,51
15/11/2014;3;2;8;7;1,4;11;63;0,05;0;;0,05
16/11/2014;3;3;8;7;;11;59;;;;
17/11/2014;3;8;23;13;13;35;40;0,47;0;;0,05
18/11/2014;3;22;36;13;;69;25;;;;
19/11/2014;3;51;45;33;;123;16;;;;
20/11/2014;3;20;37;30;4;67;26;0,51;0,01;;0,24
21/11/2014;3;34;50;38;4;102;18;0,68;0,02;;0,3
22/11/2014;3;18;37;44;;64;16;;;0,16;
23/11/2014;3;11;27;43;6;44;17;1,02;0,01;;0,22
24/11/2014;3;25;33;;;72;15;;;;
25/11/2014;3;33;35;60;;86;14;;;;
26/11/2014;3;25;33;11;1,4;70;26;0,85;0,01;;0,49
27/11/2014;3;29;40;27;;85;15;;;;
28/11/2014;3;41;36;25;;98;26;;;;
29/11/2014;3;8;24;17;3;35;44;0,19;0;;0,05
30/11/2014;3;6;21;47;;30;33;;;;
01/12/2014;3;20;22;23;;53;28;;;;
02/12/2014;3;19;28;;;58;24;;;;
03/12/2014;3;19;36;;;65;15;;;;
04/12/2014;3;55;39;;;123;9;;;;
05/12/2014;3;20;32;;;62;19;;;;
06/12/2014;3;4;17;;;22;45;;;;
07/12/2014;3;4;15;;;20;61;;;;
08/12/2014;3;13;23;;;43;38;;;;
09/12/2014;3;4;18;;;24;55;;;;
10/12/2014;3;57;53;34;13;141;23;0,58;0,01;;0,22
11/12/2014;4;57;46;24;5;134;20;0,82;0,01;;0,31
12/12/2014;3;48;38;24;;111;20;;;;
13/12/2014;3;20;36;34;11;67;33;0,5;0,01;;0,05
14/12/2014;3;8;27;30;;40;28;;;;
15/12/2014;;;;15;1,4;;;0,34;0;;0,05
16/12/2014;3;14;34;12;;56;22;;;;
17/12/2014;3;23;38;12;;73;25;;;;
18/12/2014;3;40;39;20;3;100;16;0,46;0,01;;0,29
19/12/2014;3;66;41;34;5;141;9;1,02;0,01;;0,29
20/12/2014;3;31;29;35;;76;13;;;;
21/12/2014;3;40;34;26;;96;16;;;;
22/12/2014;3;58;43;40;3;133;15;0,6;0,01;;0,2
23/12/2014;3;62;50;;;144;14;;;;
24/12/2014;3;50;43;;;119;12;;;;
25/12/2014;3;16;29;;;54;18;;;;
26/12/2014;3;55;48;;;132;12;;;;
27/12/2014;3;10;18;;;33;27;;;;
28/12/2014;3;3;7;;;11;55;;;;
29/12/2014;3;19;32;;;60;36;;;;
30/12/2014;3;54;47;28;;130;23;;;;
31/12/2014;4;65;43;30;;142;16;;;;
01/01/2015;3;14;27;27;4;47;28;0,31;0;;0,05
02/01/2015;4;64;51;36;;149;14;;;0,66;
03/01/2015;3;67;48;33;3;150;17;0,5;0;;0,18
04/01/2015;3;23;33;25;3;68;24;0,38;0;;0,05
05/01/2015;3;42;42;38;;105;19;;;;
06/01/2015;3;18;34;35;;62;19;;;;
07/01/2015;3;34;42;36;4;94;14;0,45;0,01;;0,24
08/01/2015;3;56;44;47;;129;14;;;;
09/01/2015;4;90;57;48;;194;13;;;;
10/01/2015;3;73;50;35;;162;17;;;0,53;
11/01/2015;3;47;41;27;4;113;24;0,42;0;;0,15
12/01/2015;3;32;41;;;90;18;;;;
13/01/2015;4;48;42;42;;117;17;;;;
14/01/2015;3;26;36;31;;75;22;;;;
15/01/2015;3;49;40;39;3,89;115;22;1,67;0,01;;0,65
16/01/2015;3;10;24;19;;40;40;;;;
17/01/2015;3;10;30;19;3,48;45;38;0,14;0;;0,06
18/01/2015;3;11;25;16;;42;36;;;0,16;
19/01/2015;3;22;37;14;;70;15;;;0,34;
20/01/2015;3;38;39;20;1,25;97;21;0,56;0,01;;0,39
21/01/2015;3;12;25;12;;43;27;;;;
22/01/2015;3;14;32;11;1,39;53;32;0,14;0;;0,07
23/01/2015;3;16;28;12;;53;40;;;;
24/01/2015;3;17;23;13;1,95;49;41;0,56;0;;0,04
25/01/2015;3;14;28;16;;50;54;;;;
26/01/2015;3;52;54;;;133;24;;;;
27/01/2015;3;30;29;24;;75;37;;;0,28;
28/01/2015;3;35;40;22;;94;28;;;;
29/01/2015;3;11;20;19;1,11;37;37;1,11;0,01;;0,38
30/01/2015;3;2;6;;;9;51;;;;
31/01/2015;3;5;11;6;;17;60;;;;
01/02/2015;3;11;9;5;;25;64;;;;
02/02/2015;3;8;15;10;;28;45;;;;
03/02/2015;3;7;13;10;;24;58;;;;
04/02/2015;3;15;24;12;;47;54;;;0,11;
05/02/2015;3;7;21;14;0,97;31;55;0,14;0;;0,03
06/02/2015;3;10;30;14;;45;46;;;;
07/02/2015;3;23;38;25;1,11;73;19;0,28;0;;0,1
08/02/2015;3;13;15;18;;34;38;;;;
09/02/2015;3;17;28;;;53;35;;;;
10/02/2015;3;51;42;;;120;40;;;;
11/02/2015;3;5;22;;;29;37;;;;
12/02/2015;3;25;47;26;;85;23;;;0,26;
13/02/2015;3;26;34;;;74;26;;;;
14/02/2015;3;11;15;10;2,15;32;50;0,28;0;;0,01
15/02/2015;3;9;17;;;31;47;;;;
16/02/2015;3;19;36;;;65;34;;;;
17/02/2015;3;10;34;14;2,29;48;39;0,28;0;;0,03
18/02/2015;3;24;35;;;71;42;;;;
19/02/2015;3;22;45;32;2,01;79;35;0,42;0,01;;0,38
20/02/2015;3;13;38;29;;58;44;;;0,16;
21/02/2015;3;9;14;14;1,53;27;53;0,14;0;;0,03
22/02/2015;3;12;17;;;35;67;;;;
23/02/2015;3;6;17;;;26;39;;;;
24/02/2015;3;8;14;11;;26;60;;;;
25/02/2015;3;5;21;10;;29;55;;;;
26/02/2015;4;10;19;10;0;34;51;0;0;;0
27/02/2015;3;13;16;21;;35;61;;;;
28/02/2015;3;8;34;22;;46;49;;;0,13;
01/03/2015;3;4;16;13;;22;42;;;;
02/03/2015;4;9;17;19;8,48;31;35;0,56;0;;0,17
03/03/2015;3;15;35;26;;57;33;;;;
04/03/2015;3;8;27;28;4,73;39;47;0,42;0;;0,19
05/03/2015;3;21;35;18;;66;54;;;;
06/03/2015;3;25;46;25;;84;36;;;;
07/03/2015;4;14;36;33;4,17;58;43;0;0,01;;0
08/03/2015;3;11;34;33;;51;47;;;0,11;
09/03/2015;3;18;47;;;74;36;;;;
10/03/2015;3;32;54;45;6,68;102;35;0,7;0,01;;0,21
11/03/2015;3;36;61;59;;116;24;;;;
12/03/2015;4;24;43;48;6,68;80;48;1,25;0,01;;0,36
13/03/2015;3;7;29;43;;39;64;;;;
14/03/2015;3;12;27;27;2,78;45;46;0,28;0;;0,1
15/03/2015;3;10;16;16;;30;62;;;;
16/03/2015;3;18;29;19;;57;46;;;;
17/03/2015;3;20;27;24;;57;50;;;0,09;
18/03/2015;3;8;26;25;1,25;38;60;0,28;0,04;;0,06
19/03/2015;3;3;12;38;1,67;16;80;0,42;0,02;;0,13
20/03/2015;3;3;10;28;;15;77;;;;
21/03/2015;3;5;14;23;1,94;20;61;0,28;0;;0,03
22/03/2015;;;;9;;;;;;;
23/03/2015;3;10;32;;;47;48;;;;
24/03/2015;3;6;21;33;;29;57;;;;
25/03/2015;3;7;15;9;;26;63;;;0,04;
26/03/2015;3;17;31;17;2,5;56;53;0,28;0;;0,07
27/03/2015;3;7;19;12;1,67;29;43;0,14;0;;0,12
28/03/2015;4;11;25;21;;42;38;;;;
29/03/2015;4;6;26;22;3,33;35;35;0,28;0;;0,06
30/03/2015;4;15;34;23;3,34;56;31;0,42;0;;0,09
