station_id;date;hour;avg_available;avg_free;med_available;med_free;src_count
1;2012-01-06;4;7;20;7;20;60
1;2012-01-06;5;2;25;2;25;59
1;2012-01-06;6;1;26;1;26;60
1;2012-01-06;7;1;26;1;26;60
1;2012-01-06;8;1;26;1;26;60
1;2012-01-06;9;1;26;1;26;60
1;2012-01-06;10;1;26;1;26;60
1;2012-01-06;11;1;26;1;26;59
1;2012-01-06;12;1;26;1;26;60
1;2012-01-06;13;2;25;2;25;60
1;2012-01-06;14;2;25;2;25;60
1;2012-01-06;15;1;26;1;26;57
1;2012-01-06;16;1;26;1;26;60
1;2012-01-06;17;1;26;1;26;60
1;2012-01-06;18;2;25;1;26;60
1;2012-01-06;19;3;24;4;23;60
1;2012-01-06;20;1;26;1;26;60
1;2012-01-06;21;2;25;2;25;60
1;2012-01-06;22;3;24;3;24;60
1;2012-01-06;23;4;23;4;23;60
1;2012-01-07;0;4;23;4;23;60
1;2012-01-07;1;4;23;4;23;60
1;2012-01-07;2;3;24;3;24;60
1;2012-01-07;3;1;26;1;26;59
1;2012-01-07;4;1;26;1;26;60
1;2012-01-07;5;2;25;2;25;59
1;2012-01-07;6;2;25;2;25;60
1;2012-01-07;7;2;25;2;25;60
1;2012-01-07;8;2;25;2;25;59
1;2012-01-07;9;2;25;1;26;60
1;2012-01-07;10;6;21;6;22;60
1;2012-01-07;11;6;21;6;21;60
1;2012-01-07;12;2;25;2;25;59
1;2012-01-07;13;2;25;1;26;60
1;2012-01-07;14;6;21;6;21;60
1;2012-01-07;15;4;23;5;22;60
1;2012-01-07;16;3;24;3;24;60
1;2012-01-07;17;3;24;3;24;60
1;2012-01-07;18;3;24;4;23;60
1;2012-01-07;19;2;25;2;25;60
1;2012-01-07;20;2;25;2;25;60
1;2012-01-07;21;2;25;2;25;60
1;2012-01-07;22;4;23;4;23;59
1;2012-01-07;23;2;25;2;25;60
1;2012-01-08;0;4;23;5;22;60
1;2012-01-08;1;5;22;5;22;60
1;2012-01-08;2;3;24;3;24;60
1;2012-01-08;3;2;25;2;25;60
1;2012-01-08;4;1;26;1;26;60
1;2012-01-08;5;1;26;1;26;59
1;2012-01-08;6;1;26;1;26;60
1;2012-01-08;7;1;26;1;26;60
1;2012-01-08;8;1;26;1;26;59
1;2012-01-08;9;1;26;1;26;59
1;2012-01-08;10;1;26;1;26;60
1;2012-01-08;11;5;22;5;22;60
1;2012-01-08;12;7;20;7;20;60
1;2012-01-08;13;11;16;10;17;60
1;2012-01-08;14;9;18;9;18;60
1;2012-01-08;15;8;19;8;19;60
1;2012-01-08;16;8;19;7;20;60
1;2012-01-08;17;9;18;10;17;60
1;2012-01-08;18;9;18;9;18;60
1;2012-01-08;19;9;18;9;18;60
1;2012-01-08;20;6;21;6;21;60
1;2012-01-08;21;4;23;4;23;60
1;2012-01-08;22;5;22;5;22;60
1;2012-01-08;23;2;25;2;25;60
1;2012-01-09;0;2;25;2;25;60
1;2012-01-09;1;1;26;1;26;60
1;2012-01-09;2;1;26;1;26;60
1;2012-01-09;3;1;26;1;26;60
1;2012-01-09;4;1;26;1;26;60
1;2012-01-09;5;1;26;1;26;59
1;2012-01-09;6;1;26;1;26;60
1;2012-01-09;7;2;25;2;25;60
1;2012-01-09;8;7;20;7;20;60
1;2012-01-09;9;4;23;3;24;60
1;2012-01-09;10;6;21;6;21;60
1;2012-01-09;11;8;17;8;17;60
1;2012-01-09;12;9;18;9;18;59
1;2012-01-09;13;3;24;3;24;60
1;2012-01-09;14;1;26;1;26;60
1;2012-01-09;15;2;24;1;25;60
1;2012-01-09;16;4;22;5;21;60
1;2012-01-09;17;12;14;13;13;60
1;2012-01-09;18;13;13;13;13;60
1;2012-01-09;19;4;22;2;24;60
1;2012-01-09;20;0;25;0;25;59
1;2012-01-09;21;1;25;1;25;23
1;2012-01-10;2;0;26;0;26;30
1;2012-01-10;3;0;26;0;26;60
1;2012-01-10;4;0;26;0;26;60
1;2012-01-10;5;0;26;0;26;59
1;2012-01-10;6;2;24;0;26;60
1;2012-01-10;7;7;19;6;20;60
1;2012-01-10;8;12;14;12;14;60
1;2012-01-10;9;11;15;11;15;60
1;2012-01-10;10;12;14;12;14;60
1;2012-01-10;11;12;14;13;13;60
1;2012-01-10;12;10;16;11;15;55
1;2012-01-10;14;0;26;0;26;25
1;2012-01-10;21;4;22;4;22;35
1;2012-01-10;15;1;25;1;25;31
1;2012-01-10;16;3;23;3;23;37
1;2012-01-10;17;6;20;5;21;31
1;2012-01-10;18;10;16;10;16;43
1;2012-01-10;19;10;16;10;16;27
1;2012-01-10;20;11;15;12;14;36
1;2012-01-10;22;4;22;4;22;39
1;2012-01-10;23;2;24;1;25;33
1;2012-01-10;13;5;21;5;21;34
1;2012-01-11;0;0;26;0;26;32
1;2012-01-11;1;0;26;0;26;39
1;2012-01-11;2;0;26;0;26;37
1;2012-01-11;3;0;26;0;26;34
1;2012-01-11;4;0;26;0;26;27
1;2012-01-11;5;0;26;0;26;37
1;2012-01-11;6;1;25;0;26;32
1;2012-01-11;7;7;20;7;20;35
1;2012-01-11;8;12;15;12;15;32
1;2012-01-11;9;12;15;12;15;28
1;2012-01-11;10;14;13;15;12;41
1;2012-01-11;11;12;15;12;16;36
1;2012-01-11;12;6;21;6;21;33
1;2012-01-11;13;5;22;5;22;28
1;2012-01-11;14;1;26;0;27;32
1;2012-01-11;15;1;26;1;26;34
1;2012-01-11;16;4;23;5;22;35
1;2012-01-11;17;9;18;10;17;31
1;2012-01-11;18;13;15;13;14;34
1;2012-01-11;19;10;17;10;17;35
1;2012-01-11;20;3;24;3;24;33
1;2012-01-11;21;1;26;1;27;33
1;2012-01-11;22;1;26;1;26;42
1;2012-01-11;23;2;25;2;25;41
1;2012-01-12;0;2;25;2;25;33
